"common_name","eBird","BAMv4","BAMv5","CGAMv1","DUC"
"Black-fronted Tern","Yes","No","No","No","No"
"Black-faced Woodswallow","Yes","No","No","No","No"
"Blue Ground Dove","Yes","No","No","No","No"
"Black-headed Antthrush","Yes","No","No","No","No"
"Black-hooded Antshrike","Yes","No","No","No","No"
"Black-headed Duck","Yes","No","No","No","No"
"Black Hawk-Eagle","Yes","No","No","No","No"
"Black-headed Honeyeater","Yes","No","No","No","No"
"Blue-headed Hummingbird","Yes","No","No","No","No"
"Black-headed Ibis","Yes","No","No","No","No"
"Blue-headed Parrot","Yes","No","No","No","No"
"Black-headed Saltator","Yes","No","No","No","No"
"Black-headed Siskin","Yes","No","No","No","No"
"Black-headed Trogon","Yes","No","No","No","No"
"Black Flowerpiercer","Yes","No","No","No","No"
"Black Francolin","Yes","No","No","No","No"
"Black Guillemot","Yes","No","No","No","No"
"Black Oystercatcher","Yes","No","No","No","No"
"Black Phoebe","Yes","No","No","No","No"
"Black Rail","Yes","No","No","No","No"
"Common Scoter","Yes","No","No","No","No"
"Black Scoter","Yes","No","No","No","No"
"Black Skimmer","Yes","No","No","No","No"
"Black Swan","Yes","No","No","No","No"
"Black Swift","Yes","No","No","No","No"
"Black Tern","Yes","No","No","No","No"
"Black Turnstone","Yes","No","No","No","No"
"Black Vulture","Yes","No","No","No","No"
"Blue Mountain Vireo","Yes","No","No","No","No"
"Black-naped Monarch","Yes","No","No","No","No"
"Black-naped Oriole","Yes","No","No","No","No"
"Black-necked Swan","Yes","No","No","No","No"
"Black-naped Tern","Yes","No","No","No","No"
"Black-polled Yellowthroat","Yes","No","No","No","No"
"Blyth's Reed Warbler","Yes","No","No","No","No"
"Black-striped Sparrow","Yes","No","No","No","No"
"Black-striped Woodcreeper","Yes","No","No","No","No"
"Black-throated Bobwhite","Yes","No","No","No","No"
"Black-tailed Flycatcher","Yes","No","No","No","No"
"Blue-throated Goldentail","Yes","No","No","No","No"
"Black-thighed Grosbeak","Yes","No","No","No","No"
"Blue-tailed Hummingbird","Yes","No","No","No","No"
"Black-throated Jay","Yes","No","No","No","No"
"Black-throated Mango","Yes","No","No","No","No"
"Blue-throated Motmot","Yes","No","No","No","No"
"Black-throated Munia","Yes","No","No","No","No"
"Blue-tufted Starthroat","Yes","No","No","No","No"
"Black-throated Sunbird","Yes","No","No","No","No"
"Black-tailed Tityra","Yes","No","No","No","No"
"Black-throated Tit","Yes","No","No","No","No"
"Black-tailed Trogon","Yes","No","No","No","No"
"Black-throated Wren","Yes","No","No","No","No"
"Blue Bunting","Yes","No","No","No","No"
"Blue Cotinga","Yes","No","No","No","No"
"Blue Crane","Yes","No","No","No","No"
"Blue Dacnis","Yes","No","No","No","No"
"Blue Duck","Yes","No","No","No","No"
"Bluethroat","Yes","No","No","No","No"
"Blue Grosbeak","Yes","No","No","No","No"
"Blue Jay","Yes","Yes","No","No","No"
"Blue Mockingbird","Yes","No","No","No","No"
"Blue Seedeater","Yes","No","No","No","No"
"Eurasian Blue Tit","Yes","No","No","No","No"
"Blue-winged Leafbird","Yes","No","No","No","No"
"Blue-winged Parrot","Yes","No","No","No","No"
"Blue Whistling-Thrush","Yes","No","No","No","No"
"Brown-crested Flycatcher","Yes","No","No","No","No"
"Sunda Pygmy Woodpecker","Yes","No","No","No","No"
"Brown-capped Pygmy Woodpecker","Yes","No","No","No","No"
"Brown-headed Cowbird","Yes","Yes","No","No","No"
"Brown-headed Gull","Yes","No","No","No","No"
"Brown-headed Nuthatch","Yes","No","No","No","No"
"Boat-billed Flycatcher","Yes","No","No","No","No"
"Boat-billed Heron","Yes","No","No","No","No"
"Bobolink","Yes","Yes","Yes","Yes","No"
"Bohemian Waxwing","Yes","Yes","No","No","No"
"Bokmakierie","Yes","No","No","No","No"
"Bonelli's Eagle","Yes","No","No","No","No"
"Bonaparte's Gull","Yes","No","No","No","No"
"Booted Eagle","Yes","No","No","No","No"
"Boreal Chickadee","Yes","Yes","Yes","No","No"
"Boreal Owl","Yes","No","No","No","No"
"Boat-tailed Grackle","Yes","No","No","No","No"
"Botteri's Sparrow","Yes","No","No","No","No"
"Boucard's Wren","Yes","No","No","No","No"
"Brandt's Cormorant","Yes","No","No","No","No"
"Brahminy Kite","Yes","No","No","No","No"
